,곡률,0.70,,,,,,,거래일자,종가,매매모드,변동률,매수예정,LOC 매수목표,목표량,매수가,매수량,매수금액,수수료,목표가,MOC,MOC매도,,매도일,매도가,매도량,매도금액,수수료,당일실현,손익금액,손익률,누적손익,갱신,복리금액,자금갱신,시드증액,입출금,예수금,보유량,평가금,총자산,수익률,DD,예상수,실제수,절감액,비       고,,매도추출,목표가,매도량,,,매수가,수량,,매도가,수량,,유형,매매가,수량,%,,07.10.,주문가,수량,%,체결,%p,%     ,,,,매도추출,목표가,매도량,,,,매수가,수량,,매도가,수량,,"=calculateOrders(CF10:CH30,CC10:CE30)",,,
,,,,,,,,,12.15.(월),41.18 ,안전 ,-1.3% ,"6,139.82 ",42.96 ,142 ,41.18 ,142 ,"5,847.56 ",,41.26 ,FALSE,01. 29.(목),9,12.19.(금),41.72 ,142 ,,,0.00,76.68 ,1.3% ,"5,924.24 ",FALSE,,42978.74,,,"33,982.09 ",216 ,"8,894.88 ","42,876.97 ",1.6% ,-0.1% ,5.33 ,0.00 ,5.33 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.16.(화),40.49 ,안전 ,-1.7% ,"6,139.82 ",42.42 ,144 ,40.49 ,144 ,"5,830.56 ",,40.57 ,FALSE,01. 30.(금),9,12.19.(금),41.72 ,144 ,"6,007.68 ",,0.00,177.12 ,3.0% ,"1,021.58 ",FALSE,,42978.74,,,"28,151.53 ",360 ,"14,576.40 ","42,727.93 ",1.3% ,-0.4% ,5.37 ,0.00 ,5.37 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.17.(수),36.01 ,안전 ,-11.1% ,"6,139.82 ",41.70 ,147 ,36.01 ,147 ,"5,293.47 ",,36.08 ,FALSE,02. 02.(월),9,12.18.(목),38.58 ,147 ,"5,671.26 ",,0.00,377.79 ,7.1% ,"1,399.37 ",FALSE,,42978.74,,,"22,858.06 ",507 ,"18,257.07 ","41,115.13 ",-2.6% ,-4.2% ,4.97 ,0.00 ,4.97 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.18.(목),38.58 ,안전 ,7.1% ,"6,139.82 ",37.09 ,165 , , , ,, ,,,0,,, , ,,377.61, ,, ,FALSE,,42978.74,,,"28,529.32 ",360 ,"13,888.80 ","42,418.12 ",0.5% ,-1.2% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.19.(금),41.72 ,안전 ,8.1% ,"6,139.82 ",39.74 ,154 , , , ,, ,,,0,,, , ,,55.52, ,, ,FALSE,,42978.74,,,"41,504.24 ",49 ,"2,044.28 ","43,548.52 ",3.2% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.22.(월),43.26 ,안전 ,3.7% ,"6,139.82 ",42.97 ,142 , , , ,, ,,,0,,, , ,,-93.93, ,, ,FALSE,,42978.74,,,"43,623.98 ",0 ,0.00 ,"43,623.98 ",3.4% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.23.(화),43.70 ,안전 ,1.0% ,"6,139.82 ",44.56 ,137 ,43.70 ,137 ,"5,986.90 ",,43.79 ,FALSE,02. 06.(금),9,12.24.(수),44.21 ,137 ,"6,056.77 ",,0.00,69.87 ,1.2% ,"1,469.24 ",TRUE,359.92,43338.66,,,"37,637.08 ",137 ,"5,986.90 ","43,623.98 ",3.4% ,0.0% ,5.46 ,0.00 ,5.46 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.24.(수),44.21 ,안전 ,1.2% ,"6,191.24 ",45.01 ,137 ,44.21 ,137 ,"6,056.77 ",,44.30 ,FALSE,02. 09.(월),9,01.02.(금),47.24 ,137 ,"6,471.88 ",,69.84,415.11 ,6.9% ,"1,884.35 ",FALSE,,43338.66,,,"37,637.08 ",137 ,"6,056.77 ","43,693.85 ",3.5% ,0.0% ,5.68 ,0.00 ,5.68 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.26.(금),44.21 ,안전 ,0.0% ,"6,191.24 ",45.54 ,135 ,44.21 ,135 ,"5,968.35 ",,44.30 ,FALSE,02. 10.(화),9,01.02.(금),47.24 ,135 ,"6,377.40 ",,0.00,409.05 ,6.9% ,"2,293.40 ",FALSE,,43338.66,,,"31,668.73 ",272 ,"12,025.12 ","43,693.85 ",3.5% ,0.0% ,5.60 ,0.00 ,5.60 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.29.(월),43.82 ,안전 ,-0.9% ,"6,191.24 ",45.54 ,135 ,43.82 ,135 ,"5,915.70 ",,43.91 ,FALSE,02. 11.(수),9,01.02.(금),47.24 ,135 ,"6,377.40 ",,0.00,461.70 ,7.8% ,"2,755.10 ",FALSE,,43338.66,,,"25,753.03 ",407 ,"17,834.74 ","43,587.77 ",3.3% ,-0.2% ,5.58 ,0.00 ,5.58 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
